2019-09-12 14:42:10,049 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.jwt.spring:SpringMVCHibernateCRUD:1.0-SNAPSHOT @ C:\Users\Coalesce\Desktop\StudentProject\SpringMVCHibernateCRUD\SpringMVCHibernateCRUD\pom.xml.
2019-09-12 14:42:20,305 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCHibernateCRUD/src/main/java
2019-09-12 14:42:20,305 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringMVCHibernateCRUD/src/main/resources
2019-09-12 14:42:20,306 [Worker-1] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMVCHibernateCRUD/src/test/java
2019-09-12 14:42:21,801 [Worker-1] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 16 sec
2019-09-12 14:42:24,768 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-12 14:42:24,811 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-09-12 14:42:24,827 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-09-12 14:42:24,841 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Coalesce\Desktop\StudentProject\SpringMVCHibernateCRUD\SpringMVCHibernateCRUD\src\test\resources
